geoid,gisjoin,state_fips,state_name,state_abbr,county_name,county_fips,tract_fips,area_km2,centroid_x,very_low_mf_own_hh,very_low_mf_rent_hh,very_low_sf_own_hh,very_low_sf_rent_hh,low_mf_own_hh,low_mf_rent_hh,low_sf_own_hh,low_sf_rent_hh,mod_mf_own_hh,mod_mf_rent_hh,mod_sf_own_hh,mod_sf_rent_hh,mid_mf_own_hh,mid_mf_rent_hh,mid_sf_own_hh,mid_sf_rent_hh,high_mf_own_hh,high_mf_rent_hh,high_sf_own_hh,high_sf_rent_hh,very_low_mf_own_bldg_cnt,very_low_mf_rent_bldg_cnt,high_sf_rent_elep_hh,company_na,company_ty,avg_monthly_consumption_kwh,avg_monthly_bill_dlrs,dlrs_kwh,avg_pbi_usd_p_kwh,avg_cbi_usd_p_w,avg_ibi_pct,hh_size_1,hh_size_2,hh_size_3,hh_size_4,fam_med_income,hh_med_income,hh_gini_index,pop_over_65,pop_under_18,hu_monthly_owner_costs_lessthan_1000dlrs,hu_monthly_owner_costs_greaterthan_1000dlrs,hu_own,hu_rent,hu_vintage_2010toafter,hu_vintage_2000to2009,hu_vintage_1980to1999,hu_vintage_1960to1970,hu_vintage_1940to1959,hu_vintage_1939toearlier,climate_zone_description,locale
53057940200,G5300570940200,53,Washington,WA,Skagit County,57,940200,3.284046897,-122.6830033,0,21,23,22,2,20,32,17,0,26,92,26,0,21,110,27,10,46,386,33,0.2903,5.1467,87.948561,Puget Sound Energy Inc,IOU,867.0085847,96.37668294,0.11116001,,,,259,554,100,106,79063,64821,0.4388,783,281,384,362,386,645,12,208,548,214,18,19,Mixed,Town - Fringe
53057940300,G5300570940300,53,Washington,WA,Skagit County,57,940300,51.84576933,-122.6238414,1,66,59,55,3,28,70,29,2,41,117,51,5,43,181,57,19,99,876,85,0.6157,11.7934,87.948561,Puget Sound Energy Inc,IOU,867.0085847,96.37668294,0.11116001,,,,478,1030,233,320,84901,73542,0.4241,1259,786,623,1000,941,939,34,313,774,477,258,205,Mixed,Rural - Fringe
53057940400,G5300570940400,53,Washington,WA,Skagit County,57,940400,11.95351839,-122.6470211,2,55,88,93,2,46,60,52,2,68,187,78,11,71,291,72,25,101,1230,114,1.6645,10.7353,87.948561,Puget Sound Energy Inc,IOU,867.0085847,96.37668294,0.11116001,,,,676,1268,375,579,81000,72541,0.413,1655,1353,866,1345,1467,1703,99,605,1295,396,334,169,Mixed,Rural - Fringe
53057940600,G5300570940600,53,Washington,WA,Skagit County,57,940600,2.61161396,-122.6074969,2,55,51,55,2,22,47,24,1,28,76,34,0,16,72,18,7,13,172,11,1.2122,8.88,87.948561,Puget Sound Energy Inc,IOU,867.0085847,96.37668294,0.11116001,,,,343,280,59,84,55313,36667,0.4821,367,233,173,148,180,803,5,64,125,88,109,375,Mixed,Town - Fringe
53061053102,G5300610053102,53,Washington,WA,Snohomish County,61,53102,25.21111741,-122.2375917,5,82,68,40,8,57,92,35,9,65,129,44,17,89,242,49,36,60,522,42,1.6768,9.8954,112.03983,PUD No 1 of Snohomish County,PSubdiv,906.2734052,87.34584868,0.096379137,,,,274,796,295,414,78966,72824,0.3634,696,942,400,1024,997,1020,10,292,908,485,66,18,Mixed,Rural - Fringe
53061053201,G5300610053201,53,Washington,WA,Snohomish County,61,53201,47.86044859,-122.3267163,2,54,56,45,9,51,103,40,6,50,100,49,11,47,153,35,39,65,446,27,0.7967,9.2187,112.03983,PUD No 1 of Snohomish County,PSubdiv,906.2734052,87.34584868,0.096379137,,,,270,722,128,357,95221,73224,0.4106,918,882,327,891,906,478,8,393,574,272,110,120,Mixed,Rural - Fringe
53061053202,G5300610053202,53,Washington,WA,Snohomish County,61,53202,24.98944155,-122.3278442,3,33,37,22,3,58,68,23,3,56,136,41,16,75,236,40,34,57,506,33,0.8082,4.1408,112.03983,PUD No 1 of Snohomish County,PSubdiv,906.2734052,87.34584868,0.096379137,,,,224,729,197,431,78663,77981,0.3286,592,930,373,914,961,738,22,281,948,190,116,24,Mixed,Rural - Fringe
53061053301,G5300610053301,53,Washington,WA,Snohomish County,61,53301,25.29021057,-122.3611483,11,223,187,135,6,105,150,51,9,98,190,57,15,96,315,53,32,68,466,35,3.0285,29.017,112.03983,PUD No 1 of Snohomish County,PSubdiv,906.2734052,87.34584868,0.096379137,,,,693,697,504,538,70213,51866,0.4318,935,1851,449,972,1039,2474,65,775,610,402,198,382,Mixed,Rural - Fringe
53031950702,G5300310950702,53,Washington,WA,Jefferson County,31,950702,4025.182661,-123.732619,0,18,77,41,3,12,53,14,0,13,96,17,2,5,85,16,2,12,143,12,0,2.541,85.079964,PUD No 1 of Clallam County,PSubdiv,1221.570213,114.4182836,0.093664926,,,,246,296,76,93,45987,37118,0.419,448,280,413,137,231,431,4,90,276,282,38,21,Mixed,Rural - Remote
53015001502,G5300150001502,53,Washington,WA,Cowlitz County,15,1502,81.11350075,-122.7589141,0,63,63,49,2,34,49,33,1,74,217,61,1,81,255,55,9,114,779,77,0.2949,11.1755,120.0287695,PUD No 1 of Cowlitz County,PSubdiv,1308.578611,110.9394548,0.084778594,,,,353,761,441,706,61901,61285,0.4048,935,2050,522,1011,1152,2346,26,618,952,368,81,216,Mixed,Town - Distant
